2091011.js: 739 Korean words, 10313 bytes
2460021.js: 715 Korean words, 15782 bytes
9000172.js: 652 Korean words, 45082 bytes
9010017.js: 552 Korean words, 17788 bytes
1530058.js: 448 Korean words, 20372 bytes
3003208.js: 442 Korean words, 11440 bytes
9001060.js: 317 Korean words, 11011 bytes
9000224.js: 285 Korean words, 15272 bytes
9000368.js: 242 Korean words, 10999 bytes
9001059.js: 217 Korean words, 8663 bytes
9000197.js: 212 Korean words, 13942 bytes
3003166.js: 211 Korean words, 12378 bytes
9010106.js: 210 Korean words, 4709 bytes
9000219.js: 207 Korean words, 5229 bytes
9001171.js: 191 Korean words, 2199 bytes
9010110.js: 178 Korean words, 2959 bytes
3004749.js: 149 Korean words, 6421 bytes
1530050.js: 117 Korean words, 41375 bytes
3006264.js: 116 Korean words, 2730 bytes
2184000.js: 104 Korean words, 3063 bytes
2141001.js: 95 Korean words, 3418 bytes
9001182.js: 89 Korean words, 4320 bytes
3003560.js: 88 Korean words, 3551 bytes
2052044.js: 85 Korean words, 2381 bytes
2161005.js: 78 Korean words, 3093 bytes
1057001.js: 77 Korean words, 13283 bytes
2144017.js: 70 Korean words, 3099 bytes
3001020.js: 68 Korean words, 2739 bytes
2083004.js: 64 Korean words, 3453 bytes
3004542.js: 63 Korean words, 3291 bytes
